Company,TypeName,Cpu,Ram,Gpu,OpSys,Weight,Price,IPS,Touchscreen,Cpu_speed,HDD,SSD,ppi
HP,Notebook,Intel Core i7,16,Nvidia GeForce,Windows 10,2.5,121660,0,0,1.8,0,512,127
Acer,Notebook,AMD A-Series,4,AMD Radeon,Windows 10,2.1,43170,0,0,3.0,0,256,100
HP,Notebook,Intel Celeron,4,Intel HD,No OS,1.86,24791,0,0,1.6,500,0,100
HP,Notebook,Intel Core i5,8,Intel UHD,Windows 10,1.63,77725,0,0,1.6,1000,0,157
Asus,Notebook,AMD E-Series,4,AMD Radeon,Windows 10,1.65,26609,0,0,1.5,0,64,112
Dell,Notebook,Intel Core i7,16,AMD Radeon,Windows 10,2.8,133625,0,0,1.8,2000,256,127
HP,Notebook,Intel Core i5,8,Intel UHD,Windows 10,2.5,88828,0,0,1.6,0,256,127
Dell,Notebook,Intel Core i5,8,AMD Radeon,Windows 10,2.36,61164,0,0,2.5,1000,0,100
Dell,Notebook,Intel Core i3,4,AMD Radeon,Windows 10,2.2,42978,0,0,2.0,1000,0,141
Acer,Ultrabook,Intel Core i7,8,Intel UHD,Windows 10,1.6,84616,1,0,1.8,0,256,157
Acer,Notebook,Intel Core i3,4,Nvidia GeForce,Windows 10,2.2,54752,0,0,2.7,0,256,141
HP,Notebook,Intel Core i7,8,Intel HD,Windows 10,2.05,57241,0,0,2.7,1000,0,100
HP,Notebook,Intel Core i7,8,Intel UHD,Windows 10,1.63,94571,0,0,1.8,0,256,157
Lenovo,Notebook,Intel Celeron,4,Intel HD,No OS,1.9,24156,0,0,1.1,1000,0,100
Asus,Gaming,Intel Core i5,8,Nvidia GeForce,Windows 10,3.0,89785,0,0,2.5,1000,128,127
Lenovo,Notebook,Intel Core i5,4,Nvidia GeForce,No OS,2.2,47764,0,0,2.5,1000,0,141
HP,Notebook,Intel Core i5,4,Intel HD,Windows 10,1.32,66908,1,0,2.5,0,256,166
Acer,Notebook,Intel Core i3,4,Nvidia GeForce,Windows 10,3.0,62697,1,0,2.7,1000,0,127
Lenovo,Notebook,Intel Core i5,8,AMD Radeon,Windows 10,1.75,106825,1,0,1.6,0,256,157
Lenovo,Gaming,Intel Core i7,8,Nvidia GeForce,No OS,2.4,83181,1,0,2.8,0,256,141
Toshiba,Notebook,Intel Core i5,4,Intel HD,Windows 10,2.1,57623,0,0,2.3,500,0,100
HP,Notebook,AMD A-Series,4,AMD Radeon,Windows 10,1.86,35321,0,0,2.5,0,256,100
Asus,Ultrabook,Intel Core i7,8,Intel UHD,Windows 10,1.25,105196,0,0,1.8,0,256,157
HP,Ultrabook,Intel Core M,8,Intel HD,Windows 10,0.97,192780,1,1,1.2,0,512,352
Asus,Notebook,Intel Celeron,4,Intel HD,Windows 10,2.0,32928,0,0,1.1,1000,0,141
MSI,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,2.9,194216,0,0,2.8,1000,256,127
Acer,Notebook,Intel Core i3,4,Intel HD,Windows 10,2.1,42787,0,0,2.0,1000,0,100
Dell,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,2.56,119579,0,0,2.8,0,512,141
Dell,Gaming,Intel Core i7,8,Nvidia GeForce,Windows 10,2.62,86052,0,0,2.8,0,0,141
Lenovo,Notebook,Intel Core i5,4,Intel HD,Windows 10,1.9,47669,0,0,2.5,0,128,100
MSI,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,2.8,180911,0,0,2.8,1000,256,127
HP,Ultrabook,Intel Core i5,4,Intel HD,Windows 10,1.48,103569,0,0,2.7,0,256,157
HP,Notebook,Intel Core i5,6,AMD Radeon,Windows 10,1.91,59251,0,0,1.6,0,256,141
Lenovo,2 in 1 Convertible,Intel Core i3,4,Intel HD,Windows 10,1.74,60208,1,1,2.4,0,256,157
Asus,2 in 1 Convertible,Intel Core i5,8,Intel HD,Windows 10,1.1,125872,0,1,1.6,0,256,166
Dell,2 in 1 Convertible,Intel Core i7,8,Intel UHD,Windows 10,1.56,100410,0,1,1.8,0,256,141
Toshiba,Notebook,Intel Core i3,4,Intel HD,Windows 10,2.1,42787,0,0,2.2,500,0,100
Asus,Notebook,AMD A-Series,4,AMD Radeon,Windows 10,2.03,38575,0,0,3.0,1000,0,100
Acer,Notebook,Intel Core i5,4,Nvidia GeForce,Windows 10,3.0,77055,1,0,1.6,0,256,127
Dell,Notebook,Intel Core i5,8,AMD Radeon,Windows 10,2.13,69684,0,0,1.6,0,256,141
Lenovo,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,2.5,103282,1,0,2.8,0,256,141
Acer,Notebook,Intel Celeron,4,Intel HD,Windows 10,2.1,33311,0,0,1.1,1000,0,100
MSI,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,2.4,172200,1,0,2.8,1000,256,141
Acer,Notebook,Intel Pentium,4,Intel HD,Windows 10,2.1,34795,0,0,1.1,1000,0,100
Dell,Gaming,Intel Core i7,8,Nvidia GeForce,Windows 10,2.56,101510,0,0,2.8,1000,128,141
Acer,Notebook,Intel Core i5,8,Nvidia GeForce,Windows 10,3.0,81745,1,0,1.6,0,256,127
HP,Notebook,Intel Core i5,4,Intel UHD,Windows 10,1.49,72173,1,0,1.6,500,0,166
HP,Notebook,Intel Core i5,6,AMD Radeon,Windows 10,2.71,66908,1,0,2.5,2000,0,127
Lenovo,Notebook,AMD A-Series,4,AMD Radeon,No OS,2.2,29577,0,0,2.9,500,0,100
Toshiba,Notebook,Intel Core i3,4,Intel HD,Windows 10,2.0,46807,0,0,2.4,500,0,100
HP,Notebook,Intel Core i5,8,Nvidia GeForce,Windows 10,2.5,88350,0,0,1.6,0,256,127
Dell,Notebook,Intel Core i3,8,Intel HD,Windows 10,2.3,43935,0,0,2.4,1000,0,100
Acer,Notebook,Intel Core i3,4,Intel HD,Windows 10,2.1,42978,0,0,2.0,0,128,100
MSI,Gaming,Intel Core i7,32,Nvidia GeForce,Windows 10,4.4,267920,0,0,2.9,1000,512,120
Lenovo,Notebook,Intel Core i5,8,AMD Radeon,Windows 10,1.9,77820,0,0,2.5,1000,128,141
HP,2 in 1 Convertible,Intel Core i5,8,Intel UHD,Windows 10,1.29,143484,1,1,1.6,0,256,331
Dell,Notebook,Intel Core i7,16,AMD Radeon,Linux/Others,2.02,100410,0,0,1.8,2000,256,141
Dell,Ultrabook,Intel Core i5,8,Intel UHD,Windows 10,1.23,133912,0,0,1.6,0,256,166
Lenovo,2 in 1 Convertible,Intel Core i7,16,Intel UHD,Windows 10,1.4,176986,1,1,1.8,0,512,317
Toshiba,Notebook,Intel Core i5,8,Intel HD,Windows 10,2.0,75906,0,0,2.5,0,128,100
Dell,Notebook,Intel Core i7,16,Nvidia GeForce,Windows 10,2.77,148270,0,1,1.8,0,512,127
Dell,Notebook,Intel Core i7,16,Nvidia GeForce,Windows 10,2.06,229441,0,1,2.8,0,512,282
Lenovo,Gaming,Intel Core i5,8,Nvidia GeForce,No OS,2.4,74566,1,0,2.5,0,256,141
Acer,Ultrabook,Intel Core i5,8,Intel HD,Windows 10,1.12,94667,1,0,1.2,0,256,166
Dell,Notebook,Intel Core i7,8,AMD Radeon,Windows 10,2.8,103856,0,0,1.8,1000,128,127
Lenovo,2 in 1 Convertible,Intel Core i7,16,Intel HD,Windows 10,1.42,270313,0,1,2.7,0,1000,210
Lenovo,Notebook,Intel Core i5,8,Nvidia GeForce,No OS,2.8,66813,0,0,1.6,0,256,106
Dell,2 in 1 Convertible,Intel Core i7,8,Intel UHD,Windows 10,1.62,80309,1,1,1.8,1000,0,166
HP,Notebook,Intel Core i5,8,Nvidia GeForce,Windows 10,2.5,87488,1,0,1.6,1000,0,127
HP,Notebook,Intel Core i5,8,Intel UHD,Windows 10,1.49,91795,0,0,1.6,0,512,166
HP,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,3.35,131998,1,0,2.8,1000,256,127
HP,Notebook,Intel Core i7,8,Nvidia GeForce,Windows 10,2.5,100027,0,0,1.8,0,256,127
Dell,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,2.65,176603,1,0,2.8,1000,512,282
Lenovo,Notebook,Intel Core i5,4,Intel HD,Windows 10,2.1,47190,0,0,2.3,0,128,100
Acer,Notebook,Intel Core i7,8,Nvidia GeForce,Windows 10,2.23,71024,0,0,2.7,1000,0,141
Lenovo,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,3.2,167414,1,0,2.8,1000,512,141
Dell,Workstation,Intel Xeon,16,Nvidia Quadro,Windows 10,2.8,292425,0,0,3.0,1000,256,282
Lenovo,Gaming,Intel Core i7,16,Nvidia GeForce,No OS,2.4,133817,0,0,2.8,0,512,141
Dell,Notebook,Intel Core i3,6,Intel HD,Windows 10,2.3,42021,0,1,2.4,1000,0,100
Dell,Ultrabook,Intel Core i7,8,Intel UHD,Windows 10,1.21,186558,1,1,1.8,0,256,331
Dell,Ultrabook,Intel Core i7,8,Intel UHD,Windows 10,1.2,138698,0,0,1.8,0,256,166
Lenovo,Notebook,Intel Core i5,8,Intel HD,Windows 10,2.2,57145,0,0,2.5,0,256,100
Acer,Notebook,Intel Core i7,8,Nvidia GeForce,Linux/Others,2.4,74566,0,0,2.8,1000,0,141
Asus,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,2.9,134678,0,0,2.8,1000,256,127
HP,Notebook,Intel Core i3,4,Intel HD,No OS,2.1,33406,0,0,2.0,500,0,141
Lenovo,Notebook,Intel Core i5,8,Intel HD,No OS,2.2,52550,0,0,2.5,0,256,141
Dell,Ultrabook,Intel Core i7,8,AMD Radeon,Windows 10,1.4,89200,1,0,1.8,0,256,166
Lenovo,Notebook,Intel Core i5,8,Nvidia GeForce,No OS,2.8,56379,0,0,2.5,1000,0,106
HP,Notebook,Intel Core i7,8,Nvidia GeForce,Windows 10,1.63,98687,0,0,1.8,0,256,157
Dell,Ultrabook,Intel Core i5,8,Intel UHD,Windows 10,1.6,109982,0,0,1.6,0,256,157
Dell,2 in 1 Convertible,Intel Core i7,16,Intel UHD,Windows 10,1.62,122426,0,1,1.8,0,512,166
Dell,Notebook,Intel Core i5,8,AMD Radeon,Linux/Others,2.2,64836,0,0,1.6,0,256,141
Lenovo,2 in 1 Convertible,Intel Core i5,8,Intel UHD,Windows 10,1.74,86052,1,0,1.6,0,256,157
Toshiba,Ultrabook,Intel Core i7,8,Intel HD,Windows 10,1.2,130466,0,0,2.5,0,256,166
HP,Notebook,Intel Core i5,8,Intel UHD,Windows 10,2.1,76002,0,0,1.6,1000,0,141
Dell,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,4.42,235121,1,0,2.8,1000,256,127
Acer,Notebook,Intel Core i7,8,Nvidia GeForce,Windows 10,2.2,79639,0,0,2.7,0,256,141
Dell,Notebook,Intel Core i7,16,AMD Radeon,Windows 10,2.3,82224,0,1,2.7,1000,0,141
Asus,Notebook,Intel Core i5,8,Nvidia GeForce,Windows 10,2.0,73609,0,0,2.5,0,256,141
Asus,Notebook,Intel Core i5,8,Nvidia GeForce,Windows 10,2.69,85287,0,0,2.5,500,256,127
HP,Notebook,Intel Core i7,8,AMD FirePro,Windows 10,1.9,121469,0,0,2.7,1000,0,141
Asus,Notebook,Intel Core i3,4,Intel HD,Windows 10,2.37,38191,0,0,2.4,1000,0,100
HP,Notebook,AMD E-Series,4,AMD Radeon,Windows 10,2.1,31588,0,0,1.5,500,0,100
Lenovo,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,3.2,143484,1,0,2.8,1000,256,141
Dell,Notebook,Intel Core i5,8,Intel HD,Windows 10,1.6,82223,0,0,2.5,0,256,157
Acer,2 in 1 Convertible,Intel Core i5,8,Intel HD,Windows 10,1.6,65951,1,1,2.3,0,256,166
Dell,Notebook,Intel Core i7,16,AMD Radeon,Linux/Others,2.36,86052,0,0,2.7,0,256,141
Acer,Notebook,Intel Core i3,4,Intel HD,Linux/Others,2.1,37331,0,0,2.0,1000,0,100
Asus,Notebook,AMD A-Series,4,AMD Radeon,Windows 10,2.2,55039,0,0,2.5,1000,128,141
Asus,Gaming,Intel Core i7,32,Nvidia GeForce,Windows 10,4.7,372351,0,0,2.9,1000,512,127
Acer,Gaming,Intel Core i5,8,Nvidia GeForce,Windows 10,2.5,80979,1,0,2.5,0,256,141
Lenovo,Notebook,Intel Core i3,8,Intel HD,Windows 10,2.2,56379,0,0,2.0,0,128,100
Asus,Notebook,Intel Core i7,8,Nvidia GeForce,Windows 10,2.1,109599,0,0,1.8,1000,128,127
Asus,Notebook,Intel Core i7,8,Nvidia GeForce,No OS,2.69,85095,0,0,2.7,1000,128,127
Dell,Gaming,Intel Core i5,8,Nvidia GeForce,Windows 10,2.56,84138,0,0,2.5,0,256,141
Lenovo,2 in 1 Convertible,Intel Core i7,8,Intel HD,Windows 10,1.38,103282,1,1,2.7,0,256,158
Dell,Notebook,Intel Core i7,8,AMD Radeon,Windows 10,2.2,94284,0,0,1.8,2000,128,141
HP,Notebook,Intel Core i5,8,Intel HD,Windows 10,2.04,53507,0,1,2.5,1000,0,100
Asus,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,3.6,287064,0,0,2.9,0,256,127
HP,Notebook,Intel Core i5,4,Intel UHD,Windows 10,1.49,64611,1,0,1.6,500,0,166
Apple,Ultrabook,Intel Core i5,8,Intel Iris,Mac OS,1.37,195269,1,0,3.1,0,512,227
Dell,2 in 1 Convertible,Intel Core i7,8,Intel UHD,Windows 10,2.08,78395,1,1,1.8,1000,0,141
Asus,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,4.3,172200,0,0,2.8,1000,256,127
Asus,Notebook,AMD A-Series,4,AMD Radeon,Windows 10,1.68,44893,0,0,3.0,1000,0,100
Lenovo,2 in 1 Convertible,Intel Core i7,8,Intel UHD,Windows 10,1.37,176986,1,1,1.8,0,512,158
Acer,Notebook,Intel Core i3,4,Nvidia GeForce,Windows 10,3.0,67195,1,0,2.7,0,256,127
Dell,Ultrabook,Intel Core i5,8,Intel UHD,Windows 10,1.41,90838,0,0,1.6,0,256,166
HP,Notebook,AMD A-Series,8,AMD Radeon,Windows 10,1.91,42682,0,0,2.5,0,128,100
HP,Notebook,Intel Core i7,16,Nvidia GeForce,Windows 10,2.9,101367,1,0,1.8,1000,0,127
MSI,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,4.14,239204,0,0,2.8,1000,512,127
Lenovo,2 in 1 Convertible,Intel Core i7,8,Nvidia GeForce,Windows 10,2.0,162628,1,1,2.8,0,512,141
